SCENARIO ID,DATE,EVENT TYPE,PROCESS AREA,LOSS AMOUNT(USD),FREQUENCY,SEVERITY,OPVAR(%),ML,GDP (%),VIX,TARGET
ALE-0253,26-May-19,Data Breach,Retail Banking,10.0,3,1.0,2.56,2.1,3.1,28,2
ALE-0946,22-Sep-18,Phishing,E-Banking,92.28,5,2.5,3.36,3.74,3.1,24,1
OLE-0213,10-Dec-19,Tech Failure,Payments,113.79,3,1.46,0.58,1.0,3.0,24,1
ALE-1196,02-May-19,Phishing,Retail Banking,158.1,1,1.25,2.47,2.81,2.9,19,1
OLE-0409,30-May-22,Tech Failure,E-Banking,22.04,5,1.34,1.26,1.0,3.6,17,2
ALE-0727,14-Jan-15,Phishing,ATM Network,159.33,2,1.76,3.09,2.14,3.5,21,0
OLE-0282,03-Mar-19,System Failure,Payments,45.24,3,1.28,1.19,1.0,2.7,18,0
ALE-0377,19-Apr-14,Data Breach,E-Banking,232.03,4,1.35,1.72,1.48,3.3,24,0
ALE-0277,29-Jan-17,Tech Failure,E-Banking,131.36,5,2.62,2.22,1.85,3.3,29,2
OLE-0819,20-Sep-17,System Failure,ATM Network,58.17,4,1.19,0.65,1.0,2.7,14,1
ALE-0002,22-Nov-19,Data Breach,E-Banking,155.42,5,1.69,2.69,2.09,3.5,20,1
ALE-0860,22-Oct-18,Tech Failure,Payments,133.23,3,0.9,1.2,1.15,2.9,16,2
OLE-0211,02-Feb-24,Data Breach,Payments,5.0,5,0.78,0.8,1.0,2.6,22,0
ALE-0585,26-Apr-15,Phishing,ATM Network,160.18,4,0.83,2.35,2.25,3.4,15,0
OLE-0652,05-Apr-17,Cyber-Fraud,Payments,8.23,3,0.95,0.76,1.0,3.7,24,1
ALE-1010,28-Jul-17,Tech Failure,ATM Network,222.63,1,2.96,2.68,1.9,3.4,16,1
OLE-0221,08-Oct-21,Cyber-Fraud,E-Banking,98.5,1,0.54,1.45,1.0,4.0,24,1
ALE-0289,26-Jan-19,Cyber-Fraud,Payments,164.42,1,1.69,1.57,1.78,3.6,22,1
OLE-0238,09-Mar-15,Tech Failure,Payments,78.73,1,0.95,0.78,1.0,3.1,18,2
OLE-0745,31-Dec-25,System Failure,Payments,51.87,4,0.77,0.74,1.0,2.5,19,2
ALE-0476,27-Aug-17,Tech Failure,ATM Network,131.34,2,2.6,2.04,1.67,3.4,26,2
ALE-1172,13-Dec-17,System Failure,ATM Network,110.72,4,1.35,2.89,2.89,3.0,25,1
ALE-1007,19-May-14,Cyber-Fraud,Payments,48.77,5,2.04,2.28,1.6,3.7,21,2
ALE-0472,14-May-19,Tech Failure,E-Banking,115.12,4,2.53,1.78,1.63,3.0,28,1
ALE-0524,27-Feb-16,Data Breach,Online Services,315.72,1,2.94,1.29,1.29,2.8,29,2
ALE-0050,29-Dec-15,Data Breach,E-Banking,231.16,2,1.79,2.22,1.56,2.7,16,2
ALE-0521,23-Apr-17,System Failure,ATM Network,198.34,5,2.58,3.43,3.02,3.6,23,1
OLE-0014,30-Oct-24,Tech Failure,E-Banking,45.08,1,1.3,1.36,1.0,3.7,24,0
OLE-0486,09-Dec-18,Cyber-Fraud,ATM Network,71.48,1,1.26,1.24,1.0,3.4,14,2
ALE-0631,28-Jan-16,Phishing,E-Banking,70.07,5,2.88,2.86,2.23,4.0,19,2
ALE-0637,27-Dec-14,Data Breach,Online Services,164.92,1,1.24,1.42,1.61,3.7,27,2
ALE-0743,26-Jan-15,Phishing,Online Services,18.39,3,1.83,3.48,2.45,3.0,18,0
ALE-0875,27-Aug-17,System Failure,Payments,55.0,4,2.64,1.31,0.9,2.7,23,1
ALE-0960,28-Nov-19,Phishing,E-Banking,13.21,5,1.9,1.23,0.86,2.6,27,1
OLE-0439,18-Jul-14,Cyber-Fraud,Payments,73.42,3,0.9,1.23,1.0,3.4,22,1
OLE-0743,09-Aug-17,System Failure,Payments,107.93,2,0.36,1.13,1.0,2.6,24,2
ALE-0644,26-Sep-17,Tech Failure,ATM Network,253.81,2,2.06,1.9,1.66,3.3,24,2
ALE-1058,05-Aug-14,System Failure,Online Services,219.59,2,2.98,3.22,3.87,3.1,23,0
ALE-0035,25-Mar-18,Phishing,ATM Network,149.9,3,2.36,1.32,0.94,3.2,26,1
ALE-0016,24-Sep-15,System Failure,Retail Banking,165.79,4,0.82,3.06,3.12,3.5,27,2
ALE-0607,22-Feb-17,System Failure,Payments,187.05,5,2.21,2.98,2.12,2.5,19,0
ALE-0870,22-Jul-17,Tech Failure,ATM Network,115.58,1,2.33,1.75,1.98,3.8,23,2
ALE-0469,24-Jul-14,Tech Failure,Online Services,157.52,3,1.74,2.48,2.9,3.7,27,1
ALE-0431,29-Dec-15,Data Breach,Retail Banking,218.2,3,2.16,1.73,2.16,3.6,18,0
ALE-0232,29-Aug-18,Data Breach,Payments,112.85,4,1.29,2.27,2.01,3.8,23,0
ALE-0147,24-Sep-15,Data Breach,ATM Network,198.31,5,2.96,2.67,2.92,3.9,25,2
ALE-1082,23-May-17,System Failure,Payments,234.8,5,2.14,2.86,3.5,3.4,23,1
ALE-0916,11-Sep-19,System Failure,ATM Network,86.24,2,0.92,3.33,2.64,3.8,18,0
OLE-0106,26-Jul-24,Cyber-Fraud,Payments,12.37,5,0.44,0.65,1.0,2.8,23,0
ALE-0234,03-Nov-14,Phishing,E-Banking,161.86,3,1.97,2.0,1.72,3.5,24,0
OLE-0122,16-Nov-23,Cyber-Fraud,E-Banking,56.72,2,0.43,1.26,1.0,4.0,15,2
OLE-0621,01-Oct-25,System Failure,Retail Banking,48.13,3,0.99,0.84,1.0,3.7,14,0
ALE-1000,30-Apr-18,Phishing,Online Services,77.07,2,1.82,3.33,4.13,2.9,24,0
OLE-0555,12-Oct-15,Data Breach,ATM Network,73.54,5,1.19,0.95,1.0,2.5,19,1
ALE-0058,09-Feb-16,Data Breach,Retail Banking,93.44,3,2.43,2.72,2.82,2.6,29,0
ALE-0707,17-Nov-16,Cyber-Fraud,Retail Banking,260.79,1,2.96,3.06,3.36,2.9,16,2
ALE-0683,18-Oct-16,Data Breach,E-Banking,256.8,4,1.8,2.29,2.03,2.5,21,2
OLE-0116,03-May-16,System Failure,E-Banking,34.63,2,0.49,1.2,1.0,3.7,20,2
ALE-1112,25-Jul-19,System Failure,Retail Banking,259.35,2,2.75,2.67,1.91,3.0,23,2
OLE-0768,30-Oct-15,System Failure,Payments,28.65,4,1.38,1.16,1.0,2.7,17,2
ALE-0999,06-Feb-14,Cyber-Fraud,Online Services,249.38,2,1.29,2.37,2.04,3.4,25,0
ALE-0380,10-Nov-19,Phishing,E-Banking,24.06,3,1.93,2.78,2.22,3.1,18,1
ALE-1029,14-Jan-15,Cyber-Fraud,Payments,196.42,4,2.88,1.6,1.63,3.6,29,0
ALE-1064,15-Apr-16,Tech Failure,Retail Banking,128.72,1,2.73,2.99,3.2,3.5,20,0
ALE-0137,04-Oct-18,System Failure,ATM Network,165.56,3,2.67,2.82,2.47,2.9,18,2
ALE-0523,16-Sep-14,System Failure,Payments,199.9,1,1.01,2.72,2.66,3.6,16,1
OLE-0737,26-Apr-23,Cyber-Fraud,ATM Network,58.55,3,0.39,0.52,1.0,2.7,17,1
ALE-0160,29-Dec-15,Phishing,Online Services,138.49,1,1.52,3.18,3.59,3.2,29,2
OLE-0786,27-Jul-25,Tech Failure,Payments,67.17,4,1.31,1.5,1.0,3.1,20,1
OLE-0783,09-Dec-14,Cyber-Fraud,E-Banking,23.09,1,0.92,1.27,1.0,3.3,18,2
ALE-0570,14-Jan-19,Cyber-Fraud,Retail Banking,123.25,2,2.45,2.44,1.74,2.7,24,1
ALE-1065,11-Nov-16,Data Breach,ATM Network,102.73,3,1.34,2.93,3.61,2.9,17,1
ALE-1099,02-Oct-17,Data Breach,Payments,22.17,5,2.07,2.27,2.08,3.8,26,2
ALE-0674,11-Feb-18,Tech Failure,E-Banking,267.38,1,1.44,1.84,1.45,3.8,20,2
OLE-0789,02-Sep-21,Cyber-Fraud,ATM Network,23.27,3,1.08,1.47,1.0,3.6,15,0
ALE-0012,01-Jun-19,Data Breach,Payments,186.68,3,2.25,2.1,1.98,3.5,22,0
ALE-0721,02-Apr-19,Phishing,Retail Banking,156.89,5,1.26,2.24,2.46,3.9,22,0
ALE-0549,28-Nov-19,System Failure,ATM Network,146.06,2,1.08,1.92,1.66,3.4,21,1
ALE-0083,12-Jul-14,Cyber-Fraud,ATM Network,192.37,2,2.14,3.09,3.09,2.9,24,0
OLE-0708,05-Nov-16,Cyber-Fraud,ATM Network,83.91,3,0.74,0.6,1.0,3.6,16,1
OLE-0530,26-Jan-15,Data Breach,Retail Banking,16.51,4,1.27,1.24,1.0,3.3,14,2
ALE-0571,16-Nov-19,Phishing,Payments,10.0,5,1.62,1.45,1.49,2.9,27,1
ALE-0394,30-Aug-19,Cyber-Fraud,Payments,122.67,4,0.89,2.19,2.62,2.6,23,0
ALE-0684,13-Feb-15,Cyber-Fraud,ATM Network,256.03,1,2.75,1.83,2.04,2.7,23,0
ALE-0073,17-Oct-19,System Failure,E-Banking,177.03,3,2.65,2.95,3.21,3.8,29,0
ALE-0176,28-Mar-16,Phishing,Payments,159.24,4,2.8,3.46,3.69,2.7,22,0
ALE-0197,19-Jul-19,System Failure,E-Banking,72.83,2,2.53,2.26,1.55,3.2,16,0
ALE-1128,29-Aug-18,Phishing,Retail Banking,302.34,2,2.05,2.59,2.45,2.6,24,1
ALE-1197,22-Oct-14,System Failure,ATM Network,82.41,4,2.24,2.6,2.01,3.5,16,2
ALE-0717,17-Sep-19,Cyber-Fraud,Payments,194.7,2,0.97,2.29,1.68,3.7,25,1
ALE-0318,02-Oct-17,Tech Failure,Online Services,155.88,3,2.84,2.13,1.5,3.1,23,0
OLE-0355,28-Oct-14,Cyber-Fraud,E-Banking,62.89,5,0.86,1.26,1.0,2.7,15,1
OLE-0813,10-Nov-19,Data Breach,ATM Network,68.01,2,1.19,0.94,1.0,3.7,14,0
ALE-0416,11-Aug-14,Cyber-Fraud,Retail Banking,126.0,1,1.24,1.38,1.0,2.6,18,2
OLE-0064,07-Dec-21,Data Breach,Retail Banking,24.11,5,0.46,0.6,1.0,3.5,22,0
ALE-0756,12-Sep-16,Phishing,Retail Banking,23.97,3,2.07,2.78,3.14,2.7,17,2
OLE-0484,08-Apr-19,Data Breach,ATM Network,22.48,1,1.09,0.7,1.0,3.0,15,2
ALE-1090,30-Oct-15,Tech Failure,Online Services,173.12,4,1.78,2.03,2.5,3.3,26,0
ALE-0568,08-May-19,Data Breach,Payments,241.23,4,0.99,1.42,1.44,3.4,26,2
ALE-0801,30-Oct-15,System Failure,Retail Banking,177.81,5,2.79,3.29,2.55,3.9,17,1
ALE-0433,06-Feb-14,Phishing,Online Services,262.16,2,2.81,2.43,1.86,2.7,16,2
ALE-1020,02-Sep-17,Cyber-Fraud,Retail Banking,50.86,2,0.89,2.18,2.46,3.1,16,2
ALE-0226,08-Jan-19,Data Breach,Online Services,171.36,4,2.28,3.05,2.42,3.1,20,2
OLE-0618,28-Dec-23,Data Breach,Retail Banking,35.55,4,0.42,0.56,1.0,2.7,17,0
ALE-0885,01-Feb-19,System Failure,Retail Banking,189.25,2,2.25,1.32,1.15,2.9,16,1
OLE-0694,06-Aug-19,Cyber-Fraud,Payments,43.84,3,0.84,0.85,1.0,2.8,21,1
ALE-0057,20-Apr-15,Cyber-Fraud,ATM Network,123.32,1,1.34,2.42,2.13,3.6,28,2
ALE-0970,30-Sep-15,Tech Failure,Online Services,144.05,4,1.74,3.18,3.51,2.9,25,0
OLE-0858,18-Jan-18,Data Breach,E-Banking,87.49,3,1.41,1.15,1.0,3.1,17,2
ALE-1096,07-Apr-14,Tech Failure,Payments,125.05,1,2.7,1.69,1.57,3.0,19,0
ALE-0763,09-Nov-18,Tech Failure,ATM Network,254.8,3,1.13,1.72,1.52,3.1,17,0
ALE-0280,14-May-19,Phishing,E-Banking,224.14,4,0.99,3.26,3.04,3.0,29,0
OLE-0024,11-Nov-15,Cyber-Fraud,ATM Network,5.0,5,1.29,0.93,1.0,3.8,18,2
ALE-0925,27-Aug-17,System Failure,ATM Network,202.08,5,2.44,3.48,2.32,3.3,15,0
OLE-0535,17-Oct-19,Cyber-Fraud,Payments,39.75,3,1.37,0.7,1.0,2.9,15,1
OLE-0199,10-Mar-16,Tech Failure,Payments,49.89,4,1.34,0.98,1.0,2.7,16,0
OLE-0050,26-Nov-22,Tech Failure,E-Banking,79.76,4,0.99,1.43,1.0,3.4,19,0
OLE-0174,22-May-25,System Failure,ATM Network,48.53,2,1.43,0.65,1.0,3.2,17,1
OLE-0839,07-Aug-16,Tech Failure,ATM Network,39.54,1,0.61,1.5,1.0,2.8,14,0
OLE-0433,18-Sep-15,Tech Failure,ATM Network,50.75,5,1.45,1.07,1.0,3.3,19,2
ALE-0032,18-Feb-14,Data Breach,Retail Banking,179.86,4,0.9,2.64,2.13,3.8,28,0
ALE-0214,21-Dec-14,Data Breach,Retail Banking,231.36,3,2.66,1.67,1.27,3.5,22,0
ALE-0401,02-Apr-19,Data Breach,E-Banking,265.43,2,1.7,3.26,3.57,4.0,19,1
ALE-0085,14-Jun-15,Data Breach,Online Services,201.29,2,2.0,2.67,2.72,2.6,17,0
OLE-0472,12-Aug-23,Cyber-Fraud,Retail Banking,43.44,3,1.13,1.23,1.0,2.6,24,1
OLE-0072,24-Apr-22,Data Breach,Retail Banking,24.56,2,0.31,0.76,1.0,2.9,22,0
ALE-1262,10-Oct-14,System Failure,Retail Banking,271.11,2,1.59,3.09,2.91,3.8,24,1
ALE-1015,22-Oct-18,Data Breach,ATM Network,140.14,3,1.99,2.85,2.98,2.7,21,2
OLE-0423,20-Apr-24,Cyber-Fraud,Retail Banking,41.41,2,0.79,0.63,1.0,2.5,23,0
OLE-0820,31-Mar-22,Data Breach,E-Banking,62.52,4,0.6,0.56,1.0,2.7,21,0
OLE-0459,09-Apr-16,Tech Failure,ATM Network,5.0,5,0.31,1.4,1.0,2.7,19,1
ALE-0928,23-Feb-18,System Failure,E-Banking,178.1,5,2.86,3.28,2.78,3.4,24,2
OLE-0808,23-Aug-14,Tech Failure,E-Banking,82.36,3,0.76,1.35,1.0,3.6,24,0
ALE-0276,18-Aug-19,Cyber-Fraud,Retail Banking,173.5,5,2.18,2.47,1.66,3.6,22,1
ALE-0723,14-May-19,Tech Failure,E-Banking,29.23,2,0.97,2.1,2.31,3.1,15,2
ALE-0655,12-Oct-16,Cyber-Fraud,Online Services,116.36,5,2.76,3.3,3.47,2.6,20,2
ALE-1179,12-May-18,Cyber-Fraud,E-Banking,44.83,2,2.71,1.25,0.98,3.3,26,0
ALE-0385,01-Jun-19,Cyber-Fraud,ATM Network,149.99,2,1.28,2.69,2.46,2.7,16,0
ALE-0141,14-Apr-19,Phishing,Retail Banking,249.94,4,1.5,1.92,1.54,2.7,19,2
OLE-0257,30-May-22,System Failure,E-Banking,16.5,2,0.55,0.88,1.0,4.0,17,1
ALE-0620,05-May-17,System Failure,Payments,226.81,1,2.29,1.4,1.1,3.4,17,1
ALE-1136,31-Dec-17,Phishing,E-Banking,204.51,1,1.62,2.91,2.55,3.1,15,0
ALE-1266,29-Aug-18,Data Breach,Online Services,136.36,5,2.06,3.2,2.56,3.9,24,2
OLE-0479,03-Sep-22,Cyber-Fraud,Payments,86.62,4,1.18,0.87,1.0,3.3,17,0
OLE-0562,18-May-18,System Failure,Retail Banking,71.68,4,0.44,0.83,1.0,3.7,18,2
ALE-0366,18-Jan-18,Data Breach,E-Banking,35.58,1,0.91,2.07,2.0,3.6,15,1
OLE-0021,06-Jan-18,System Failure,Retail Banking,55.09,2,1.21,1.0,1.0,3.3,21,1
ALE-0392,08-Apr-15,Tech Failure,ATM Network,50.01,5,2.97,1.61,1.2,3.0,23,0
ALE-0259,26-May-19,Phishing,Online Services,205.0,4,1.57,3.07,3.0,2.7,27,2
OLE-0382,01-Jul-23,System Failure,Retail Banking,72.72,5,1.04,0.75,1.0,3.4,19,1
ALE-0372,18-May-18,Phishing,ATM Network,115.87,5,2.31,3.36,2.57,2.8,19,1
OLE-0765,14-Apr-19,Tech Failure,Payments,5.0,5,0.34,1.12,1.0,3.3,14,0
ALE-0161,16-Feb-17,Data Breach,Online Services,111.61,2,1.09,2.85,3.36,3.0,23,1
ALE-1224,05-Jan-17,Phishing,Retail Banking,200.95,2,2.41,2.1,1.61,3.0,25,1
ALE-0782,02-Apr-19,Phishing,Payments,110.93,3,0.96,2.66,2.08,3.3,27,2
ALE-0435,27-Nov-14,Tech Failure,E-Banking,43.84,3,1.4,1.67,1.51,2.6,15,1
ALE-0555,29-Aug-14,Tech Failure,Retail Banking,54.75,2,2.81,3.38,2.45,3.0,24,2
OLE-0680,11-Feb-18,Data Breach,ATM Network,27.96,4,0.67,1.26,1.0,3.9,23,2
ALE-0036,21-Feb-16,Phishing,E-Banking,234.32,5,1.86,3.24,3.04,3.6,17,1
ALE-1163,11-Jan-17,System Failure,Retail Banking,89.64,4,0.81,2.86,2.07,3.1,22,1
ALE-1152,16-Jan-16,Phishing,Retail Banking,110.3,4,1.14,1.37,1.04,3.7,20,1
OLE-0428,01-Feb-15,System Failure,ATM Network,41.61,1,1.31,1.11,1.0,3.4,20,0
OLE-0375,13-Mar-18,Tech Failure,Payments,5.0,1,0.35,0.72,1.0,2.5,24,1
OLE-0271,24-Oct-20,System Failure,ATM Network,11.23,4,0.54,1.15,1.0,3.7,17,2
ALE-0642,08-Apr-15,Phishing,Payments,164.76,4,1.04,1.99,1.64,2.8,29,0
ALE-1247,29-Dec-15,Cyber-Fraud,ATM Network,125.01,2,2.0,1.75,1.37,3.2,28,0
ALE-0246,08-Jan-15,Cyber-Fraud,ATM Network,171.82,2,2.09,1.93,2.24,2.8,16,0
ALE-0984,06-Sep-16,System Failure,ATM Network,90.02,1,1.44,2.14,1.83,2.7,23,1
OLE-0446,30-Jul-18,Data Breach,ATM Network,114.92,5,0.33,0.82,1.0,2.6,22,0
OLE-0549,17-Jun-22,Data Breach,Retail Banking,8.29,4,1.4,0.83,1.0,3.1,14,0
OLE-0026,23-Sep-23,Data Breach,ATM Network,48.12,4,1.1,1.43,1.0,3.3,21,1
ALE-0576,19-Nov-17,Data Breach,E-Banking,159.59,1,2.42,2.28,2.41,3.3,22,1
OLE-0631,08-May-24,System Failure,ATM Network,5.48,2,0.44,0.57,1.0,3.2,14,2
OLE-0079,24-Aug-23,Data Breach,ATM Network,101.9,2,0.46,1.23,1.0,3.7,16,2
OLE-0367,24-Jul-18,Data Breach,Payments,25.59,3,0.67,0.84,1.0,2.6,24,0
ALE-1137,17-Apr-17,System Failure,ATM Network,185.01,5,1.77,2.42,2.17,3.2,16,2
OLE-0033,06-Oct-15,System Failure,E-Banking,29.8,4,0.48,0.92,1.0,2.7,14,2
ALE-0190,12-Jan-18,Phishing,E-Banking,160.82,3,1.52,2.55,1.83,3.2,24,1
ALE-1008,27-Dec-14,Data Breach,ATM Network,194.22,2,1.58,1.79,1.81,3.1,27,0
ALE-1259,26-Jan-15,System Failure,Payments,239.81,2,1.66,1.45,1.02,2.6,28,0
ALE-1108,06-Apr-18,Data Breach,Payments,185.03,4,3.0,1.31,1.18,3.2,27,1
ALE-0136,14-Jun-15,System Failure,E-Banking,159.69,3,2.88,2.31,1.93,3.7,25,2
ALE-1022,16-Jun-17,Tech Failure,Online Services,149.66,2,1.76,2.98,2.29,2.7,18,1
OLE-0545,26-Jul-20,Tech Failure,Payments,88.88,2,0.68,0.56,1.0,3.4,24,0
OLE-0164,25-Jun-23,System Failure,ATM Network,52.93,2,0.68,0.65,1.0,3.2,23,0
OLE-0204,07-Nov-21,Cyber-Fraud,Retail Banking,8.94,3,1.1,1.32,1.0,3.7,18,2
ALE-0600,12-Jun-18,Tech Failure,Retail Banking,130.7,4,2.77,2.75,2.92,3.9,28,2
ALE-0059,17-Nov-16,System Failure,Payments,152.21,1,1.93,1.82,1.63,3.2,25,2
ALE-0590,18-Jan-18,Phishing,Online Services,155.27,4,1.38,3.12,3.03,3.2,29,1
ALE-0787,01-Jun-15,Data Breach,E-Banking,178.59,2,2.04,2.86,2.61,2.6,29,0
OLE-0306,28-Jan-25,Data Breach,E-Banking,104.59,3,1.11,1.12,1.0,3.6,20,0
ALE-0122,27-Apr-16,Data Breach,Retail Banking,217.2,4,2.13,3.35,3.55,2.7,20,2
OLE-0565,12-Sep-16,Tech Failure,Retail Banking,115.52,5,0.64,1.02,1.0,3.6,22,2
ALE-1271,07-Jun-19,Phishing,E-Banking,66.91,4,1.91,2.41,1.69,3.1,27,1
OLE-0193,31-Aug-15,Tech Failure,E-Banking,71.2,1,0.38,1.34,1.0,2.5,18,0
ALE-0741,10-Oct-18,System Failure,Online Services,100.62,3,2.75,2.13,1.72,3.8,24,2
OLE-0753,05-Oct-23,Data Breach,E-Banking,71.74,1,1.21,1.11,1.0,2.8,23,0
ALE-0143,21-Dec-14,Cyber-Fraud,Retail Banking,76.26,5,2.09,2.03,1.79,3.0,24,1
OLE-0742,06-Sep-24,Tech Failure,Retail Banking,26.42,5,1.37,0.56,1.0,3.2,22,2
ALE-0729,08-Mar-14,System Failure,Online Services,210.59,3,1.49,3.02,3.39,3.6,22,0
OLE-0572,01-Jun-24,System Failure,ATM Network,5.0,2,0.63,1.06,1.0,3.0,20,2
ALE-0700,17-Apr-17,Data Breach,Retail Banking,19.54,2,0.88,3.45,4.3,3.8,21,1
OLE-0219,02-Jul-16,Data Breach,Retail Banking,115.63,5,0.85,1.06,1.0,3.8,21,0
OLE-0611,03-Feb-21,Cyber-Fraud,ATM Network,40.82,5,1.43,0.56,1.0,3.9,17,1
ALE-1254,15-Dec-14,Phishing,ATM Network,196.14,4,2.86,1.22,1.02,3.6,19,2
OLE-0352,27-Feb-21,Data Breach,ATM Network,98.85,4,0.6,0.76,1.0,2.5,23,1
ALE-1013,02-Sep-17,Data Breach,E-Banking,123.37,4,0.89,2.93,2.67,4.0,24,2
ALE-0211,14-Jan-15,System Failure,Payments,126.42,3,2.27,1.37,1.04,2.6,26,0
ALE-1075,13-Jan-14,Cyber-Fraud,Online Services,27.24,2,2.58,3.42,2.75,3.7,22,0
ALE-0430,24-Oct-16,Data Breach,E-Banking,17.77,1,2.49,3.19,2.74,4.0,15,2
ALE-0954,05-Dec-15,Cyber-Fraud,Retail Banking,65.06,4,1.34,3.44,3.19,3.4,22,1
ALE-0463,31-Mar-18,System Failure,Payments,182.17,3,2.95,1.4,0.97,3.2,18,0
OLE-0060,26-Oct-17,System Failure,Payments,46.95,2,0.53,1.12,1.0,3.0,23,1
OLE-0412,07-Jun-15,Cyber-Fraud,Payments,44.91,5,0.71,1.3,1.0,2.9,19,0
OLE-0782,13-Jan-14,System Failure,E-Banking,75.28,5,1.44,1.27,1.0,2.9,23,1
OLE-0496,10-Jan-16,System Failure,Payments,85.48,5,0.98,1.16,1.0,3.5,17,1
OLE-0830,27-Nov-14,System Failure,Payments,91.14,1,0.51,1.39,1.0,3.2,14,1
OLE-0074,19-Aug-20,Cyber-Fraud,Payments,67.23,5,1.0,1.25,1.0,3.7,15,2
ALE-0460,29-Apr-17,System Failure,E-Banking,38.66,1,0.84,2.81,2.88,2.6,24,1
OLE-0635,06-Sep-16,Data Breach,Retail Banking,51.33,5,1.33,1.34,1.0,3.0,14,0
ALE-0947,14-Oct-17,Tech Failure,Payments,147.24,5,2.36,2.09,1.78,3.8,17,0
ALE-0544,04-Sep-18,Tech Failure,Payments,288.85,3,2.13,3.38,3.26,2.7,15,1
OLE-0163,03-Jun-25,Tech Failure,Payments,16.56,2,0.35,0.53,1.0,3.1,23,2
ALE-0526,25-Nov-17,Phishing,Payments,65.83,1,1.19,2.66,2.52,3.8,26,2
OLE-0597,25-Nov-21,Data Breach,ATM Network,36.36,3,0.37,1.08,1.0,3.8,20,1
OLE-0448,10-Nov-23,Cyber-Fraud,ATM Network,86.9,1,0.6,0.62,1.0,3.4,22,1
ALE-0557,01-Jul-19,Cyber-Fraud,E-Banking,271.28,2,2.68,1.92,1.65,3.2,29,2
OLE-0354,21-Dec-14,Data Breach,Retail Banking,34.02,2,1.44,1.44,1.0,3.4,24,1
ALE-0402,17-Nov-15,Data Breach,ATM Network,165.59,5,2.76,1.76,1.34,3.7,17,2
ALE-0084,15-Dec-14,Tech Failure,ATM Network,149.44,3,1.51,2.86,2.27,3.9,16,1
ALE-1242,11-Oct-19,Tech Failure,Online Services,41.27,2,2.85,2.94,2.17,2.7,20,2
ALE-0629,10-Dec-19,Data Breach,Retail Banking,162.18,2,1.2,2.6,1.99,3.0,26,0
ALE-0998,22-Sep-14,Cyber-Fraud,Retail Banking,175.68,2,1.06,2.05,2.26,2.9,22,2
ALE-0899,30-Mar-17,Data Breach,E-Banking,175.21,5,1.28,3.12,2.43,3.8,19,1
OLE-0046,15-Sep-22,Cyber-Fraud,ATM Network,14.77,4,0.64,1.44,1.0,3.8,19,2
ALE-0764,09-Aug-17,System Failure,Online Services,174.31,3,2.48,3.48,2.59,2.9,20,1
OLE-0810,20-Apr-23,Tech Failure,Payments,5.0,4,0.94,1.44,1.0,3.0,20,2
ALE-0365,22-Jun-17,Data Breach,Retail Banking,236.56,2,2.66,2.33,2.29,3.8,21,1
OLE-0295,25-Aug-16,Data Breach,Payments,75.75,2,0.91,0.92,1.0,2.5,14,2
ALE-0798,25-Jan-14,Tech Failure,E-Banking,154.86,3,1.87,1.8,1.36,3.6,16,2
ALE-0196,22-Jun-17,Data Breach,E-Banking,198.92,5,0.94,3.1,3.49,3.9,18,2
OLE-0077,08-May-15,System Failure,E-Banking,75.81,1,0.61,1.04,1.0,3.5,18,1
OLE-0206,25-Mar-18,Tech Failure,Retail Banking,15.99,4,1.01,0.51,1.0,3.2,17,1
ALE-0751,24-Jul-14,Cyber-Fraud,Online Services,174.74,1,1.42,3.13,3.75,3.1,19,0
ALE-1131,30-Jul-18,System Failure,Payments,67.22,2,1.87,2.28,2.32,3.9,20,0
ALE-0274,25-Jun-19,Phishing,E-Banking,213.62,2,1.18,3.15,3.12,3.4,29,0
OLE-0415,20-Oct-17,Data Breach,ATM Network,26.59,2,0.34,1.49,1.0,2.5,22,1
ALE-0866,20-Oct-17,Tech Failure,Online Services,144.11,3,1.47,2.04,1.89,3.7,15,0
ALE-0228,14-Jul-16,Cyber-Fraud,E-Banking,32.96,2,2.3,1.35,1.11,3.7,27,0
OLE-0437,24-May-18,Cyber-Fraud,Payments,42.17,1,0.78,1.17,1.0,3.5,16,0
ALE-0765,14-May-19,Phishing,Payments,115.85,4,2.46,2.24,2.36,2.8,29,1
ALE-0909,15-Aug-17,Tech Failure,Payments,133.54,1,1.78,2.84,2.67,3.9,16,0
OLE-0394,02-Jun-20,Cyber-Fraud,E-Banking,31.06,2,0.68,0.79,1.0,2.6,19,1
OLE-0722,27-Nov-14,Tech Failure,E-Banking,46.33,5,0.58,1.21,1.0,3.8,14,1
OLE-0031,06-Oct-24,Data Breach,ATM Network,89.76,2,0.51,0.86,1.0,3.9,21,0
ALE-0426,22-Nov-19,Tech Failure,Payments,61.96,3,2.35,2.58,2.26,2.5,29,2
OLE-0857,14-Dec-22,Cyber-Fraud,ATM Network,29.68,4,1.26,1.35,1.0,3.2,18,0
ALE-0237,20-May-19,Phishing,Retail Banking,240.14,4,2.64,3.04,2.92,2.9,22,2
ALE-0919,01-Aug-15,Data Breach,Retail Banking,238.11,3,2.59,3.39,3.53,2.9,20,2
ALE-0794,22-Jun-17,Tech Failure,Payments,97.1,1,0.91,1.97,1.48,2.9,28,0
OLE-0556,24-Sep-20,Cyber-Fraud,Payments,68.65,5,0.86,1.12,1.0,3.2,20,0
OLE-0345,02-May-19,Data Breach,Payments,101.08,4,0.88,1.34,1.0,3.0,16,1
